Name;Code;Q;Start;Dataset;LastUpdateDate;LastUpdateCount;MULT
Exchange Rates, Real Effective Exchange Rate based on Unit Labor Costs, Index;EREER_ULC_IX;1;1980;IFS;;;
Financial, Interest Rates, Discount, Percent per annum;FID_PA;1;1980;IFS;;;
Financial, Interest Rates, Refinancing Rate, Percent per annum ;FIR_PA;1;1980;IFS;;;
Financial, Interest Rates, Repurchase Agreement Rate, Percent per annum ;FIRA_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Bond Yields, Medium Term, Percent per annum;FIGBY_MT_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Bond Yields, Short- to Medium-Term, Percent per Annum;FIGBY_SM_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Government Bonds, Medium- to Long-term, Percent per annum;FIGB_MLT_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum;FIGB_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Government Bonds, Short-term, Percent per annum;FIGB_S_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, 3-month, Percent per annum;FITB_3M_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, Bond Equivalent, Percent per Annum;FITBBE_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, Foreign Currency, Percent per Annum;FITB_FX_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, Index;FITB_IX;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, Long-Term, Percent per Annum;FITB_L_PA;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, Percent per annum;FITB_PA;1;1980;IFS;;;
Current Account, Total, Net, US Dollars;BCA_BP6_USD;1;1980;BOP;;;
Current Account, Total, Net, Percent of GDP, Percent;FIGBY_SM_PA;1;1980;PGI;;;
